day,month,Day_week,year,open_norm,high_norm,low_norm,close_norm
7,12,3,2011,0.004453723,0.015524595,0.003798124,1
8,12,4,2011,0.008916855,-0.002031902,0.004324289,0
9,12,5,2011,-0.017684173,-0.006909709,-0.010845722,0
12,12,1,2011,0.012130533,0.005141658,0.007732957,1
13,12,2,2011,0.003363967,0.004882475,0.007485459,1
14,12,3,2011,0.005029032,-0.002637152,0.001404768,0
15,12,4,2011,-0.004423709,-0.009206362,-0.018106629,0
16,12,5,2011,-0.009259034,0.006542343,0.004178641,0
19,12,1,2011,-0.009974594,-0.021098301,-0.018421356,0
20,12,2,2011,0.000379569,-0.004185852,0.001415908,0
21,12,3,2011,0.003835494,0.014514255,0.002526626,1
22,12,4,2011,-0.015143672,-0.005012592,-0.000600856,0
23,12,5,2011,0.018847303,-0.002841443,0.006162479,0
26,12,1,2011,-0.008843977,0.017441146,0.004498112,1
27,12,2,2011,0.022670754,0.004410285,0.012029379,0
28,12,3,2011,-0.00179349,-0.004711425,0.002261354,0
29,12,4,2011,-0.008028553,-0.008428934,-0.006687301,0
30,12,5,2011,-0.000293717,0.002135295,0.003017655,1
2,1,1,2012,0.000587606,0.010013692,-0.001823132,1
3,1,2,2012,0.019363311,0.024208491,0.023612954,1
4,1,3,2012,0.015674884,-0.000814504,0.009409731,0
5,1,4,2012,-0.006932627,-0.000823007,-0.00330551,0
6,1,5,2012,-0.00234023,-0.004094888,-0.0075237,0
9,1,1,2012,0.002608122,-0.002307923,0.003461816,1
10,1,2,2012,0.005654736,0.00392386,0.00845698,1
11,1,3,2012,0.001190833,0.005386999,-0.013889659,0
12,1,4,2012,-0.040038439,-0.046721369,-0.05935259,0
13,1,5,2012,-0.02788217,-0.026142611,-0.004499044,0
16,1,1,2012,-0.010238706,0.010784942,0.004622285,1
17,1,2,2012,0.027511747,0.011653496,0.025130604,1
18,1,3,2012,-0.007029921,-0.014205435,-0.022441128,0
19,1,4,2012,-0.007740016,-0.005107073,-0.002018791,0
20,1,5,2012,-0.003175753,-0.000672116,0.004216456,1
23,1,1,2012,-0.001909832,0.000874339,0.003501793,1
24,1,2,2012,0.006773404,0.006778607,0.001228127,1
25,1,3,2012,0.007509945,0.011713861,0.012071635,1
26,1,4,2012,0,0,0,0
27,1,5,2012,0.017453799,0.015280962,0.017703405,1
30,1,1,2012,-0.000689129,-0.003403322,-0.001264825,0
31,1,2,2012,0.002758417,0.011190259,0.004465387,1
1,2,3,2012,0.012305047,-0.000322401,0.00040935,0
2,2,4,2012,0.003081328,0.01406929,0.014190433,1
3,2,5,2012,0.008917269,0.009843052,0.009731378,1
6,2,1,2012,0.020769569,0.007613454,0.013353578,1
7,2,2,2012,0.006153413,0.004227256,-0.007704683,0
8,2,3,2012,-0.010496421,0.001711796,0.009560594,1
9,2,4,2012,0.002414072,0.011402827,-0.005140437,1
10,2,5,2012,0.016222407,-0.001259523,0.011932362,0
13,2,1,2012,-0.004577525,-0.001468734,0.002212891,0
14,2,2,2012,-0.000589362,-0.002287202,0.002839978,1
15,2,3,2012,0.007867967,0.017945908,0.010557518,1
16,2,4,2012,0.011555843,0.00567178,0.009515671,1
17,2,5,2012,0.012519788,0.020681751,0.009753903,1
20,2,1,2012,0,0,0,0
21,2,2,2012,0.002796215,-0.007394439,0.000906303,1
22,2,3,2012,-0.00135673,0.013805062,0.005297074,1
23,2,4,2012,0.004811301,-0.004786164,0.002627075,0
24,2,5,2012,0.000605069,0.002714385,0.00278489,1
27,2,1,2012,0.012788354,-0.002052346,-0.01628966,0
28,2,2,2012,-0.024413436,-0.01893663,-0.006519033,0
29,2,3,2012,0.000861346,-0.001758156,0.000725695,1
1,3,4,2012,-0.008439965,-0.009664308,-0.011556899,0
2,3,5,2012,0.001400869,-0.000342008,0.000934435,0
5,3,1,2012,-0.005960572,-0.005002623,-0.006457785,0
6,3,2,2012,-0.012413287,0.007694482,0.000605712,1
7,3,3,2012,0.004352405,-0.000166818,0.005091112,1
8,3,4,2012,0,0,0,0
9,3,5,2012,0.021852783,0.006150556,0.009983939,0
12,3,1,2012,0.002897676,0.001771326,-0.013661975,0
13,3,2,2012,-0.018855715,-0.010225426,0.010727518,1
14,3,3,2012,0.013006334,0.009449238,-0.005529226,0
15,3,4,2012,-0.010727209,-0.012990632,0.000801993,1
16,3,5,2012,0.004109369,0.004883148,-0.002157481,0
19,3,1,2012,-0.004397397,-0.007478949,-0.019057768,0
20,3,2,2012,-0.020836363,-0.012431341,0.00251903,1
21,3,3,2012,0.004495173,0.017328593,0.00892794,1
22,3,4,2012,0.016802864,-0.004028021,-0.001097362,0
23,3,5,2012,-0.01210878,0.001185006,0.004807205,1
26,3,1,2012,0.01021175,-0.002626836,-0.004489555,0
27,3,2,2012,-0.004433025,0.002113129,0.004237189,1
28,3,3,2012,0.000331261,-0.007533158,-0.006732283,0
29,3,4,2012,-0.014285714,-0.013725732,-0.011260083,0
30,3,5,2012,-0.001210985,0.019879955,0.009627155,1
2,4,1,2012,0.01875,0.00493625,0.015840113,1
3,4,2,2012,0.01067285,0.005292778,0.005136103,1
4,4,3,2012,-0.008987518,-0.001704468,-0.002053136,0
5,4,4,2012,0,0,0,0
6,4,5,2012,0,0,0,0
9,4,1,2012,-0.002775137,-0.008074002,-0.008643985,0
10,4,2,2012,-0.001791178,-0.003220698,-0.016370085,0
11,4,3,2012,-0.017751388,-0.008403942,-0.000732145,1
12,4,4,2012,0.009298752,-0.001075843,-0.001528389,0
13,4,5,2012,-0.071599472,-0.067874355,-0.091015252,0
16,4,1,2012,-0.034054873,-0.035535569,-0.011310568,0
17,4,2,2012,0.007241669,0.002473562,0.007691025,1
18,4,3,2012,0.007215404,0.008906924,0.01194511,1
19,4,4,2012,-0.00383374,0.001380486,0.00175641,1
20,4,5,2012,6.86E-05,0.00405065,-0.007391491,0
23,4,1,2012,-0.000419963,-0.011145201,-0.020954195,0
