Date,Close,Open,High,Low
23-Nov-12,6099.1,6097.5,6124.95,6055.95
26-Nov-12,6174.45,6117.7,6180.35,6117.7
27-Nov-12,6252.3,6189.25,6265.3,6186.35
28-Nov-12,6252.3,6189.25,6265.3,6186.35
29-Nov-12,6226.6,6243.65,6248,6205.55
30-Nov-12,6263.25,6217.75,6282.35,6209.8
03-Dec-12,6269.85,6263.45,6299.7,6243.45
04-Dec-12,6233.85,6256.6,6257.35,6215.6
05-Dec-12,6149.45,6226.35,6226.35,6140.5
06-Dec-12,6063.7,6162.3,6162.3,6013.3
07-Dec-12,6006.25,6041.35,6068.2,5994.6
10-Dec-12,5969.45,6013.8,6046.45,5951.5
11-Dec-12,5917.6,5970.6,6009.3,5887.45
12-Dec-12,5935.95,5946.05,5996.3,5918.55
13-Dec-12,5909.5,5953.55,5970.05,5897.45
14-Dec-12,5947.75,5888.9,5953.15,5888.9
17-Dec-12,5877.2,5928.15,5970.65,5864.05
18-Dec-12,5902.2,5882.85,5907.85,5845.55
19-Dec-12,5976.25,5915.65,5980.95,5915.65
20-Dec-12,5994.95,5985,6012.3,5951.25
21-Dec-12,5981.3,5986.2,6025.15,5953.8
24-Dec-12,6037.25,6016.85,6046.15,6013.9
25-Dec-12,6037.25,6016.85,6046.15,6013.9
26-Dec-12,6023.6,6037.1,6048.25,6007.4
27-Dec-12,5967.65,6047.05,6047.05,5952.75
28-Dec-12,6044.25,5990.5,6052.25,5990.5
31-Dec-12,6024.95,6028.2,6042.65,6009.1
01-Jan-13,6033.3,6055.5,6059.95,6025.05
02-Jan-13,6031,6049.9,6063.85,6018.3
03-Jan-13,6097.6,6045.35,6111.35,6034.95
04-Jan-13,6153.2,6118.5,6159.8,6108
07-Jan-13,6175.45,6159.35,6190.55,6141.2
08-Jan-13,6147.9,6160.75,6173.75,6115.15
09-Jan-13,6101.05,6143.95,6177.3,6091.2
10-Jan-13,6073.1,6109.15,6131.15,6057.45
11-Jan-13,6639.85,6370.4,6654.65,6370.4
14-Jan-13,6809.5,6719.75,6846.15,6716.85
15-Jan-13,6791.5,6884.35,6898.7,6780.4
16-Jan-13,6777.95,6785.2,6792.3,6738.65
17-Jan-13,6869.45,6833.05,6896.05,6822.7
18-Jan-13,6798.7,6885.9,6890.1,6786.95
21-Jan-13,6789.4,6772.05,6823.4,6756.4
22-Jan-13,6739.65,6782.45,6788.7,6731
23-Jan-13,6725.8,6734,6767.85,6707.3
24-Jan-13,6742.4,6742,6799.2,6732.7
25-Jan-13,6800.75,6752.65,6817.85,6736.85
28-Jan-13,6822.7,6796.3,6848.5,6785.4
29-Jan-13,6792.3,6808.05,6849.45,6783.15
30-Jan-13,6787.85,6794.95,6806.35,6776.9
